MAG	PTS system, glucose-specific II component	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Cytochrome c oxidase	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	3-Hydroxypropionate bi-cycle	Citrate cycle (TCA cycle, Krebs cycle)	Reductive citrate cycle (Arnon-Buchanan cycle)	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	Hydroxypropionate-hydroxybutylate cycle	Cytochrome c oxidase, cbb3-type	Cytochrome o ubiquinol oxidase	Glycolysis, core module involving three-carbon compounds	F-type ATPase, eukaryotes	Dissimilatory nitrate reduction, nitrate => ammonia	Gluconeogenesis, oxaloacetate => fructose-6P	Fumarate reductase, prokaryotes	Methane oxidation, methanotroph, methane => formaldehyde	PRPP biosynthesis, ribose 5P => PRPP	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	NADH:quinone oxidoreductase, prokaryotes	2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate	F420 biosynthesis	Formaldehyde assimilation, xylulose monophosphate pathway	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	Cytochrome bc1 complex respiratory unit	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Pyruvate oxidation, pyruvate => acetyl-CoA	Sulfate transport system	F-type ATPase, prokaryotes and chloroplasts	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	Methanogenesis, acetate => methane	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	V-type ATPase, eukaryotes	Manganese/zinc/iron transport system	alpha-Hemolysin/cyclolysin transport system	Cytochrome bc1 complex	Formaldehyde assimilation, ribulose monophosphate pathway	Formaldehyde assimilation, serine pathway	Manganese/iron transport system	Iron/zinc/manganese/copper transport system	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Methanogenesis, methanol => methane	Methanogenesis, CO2 => methane	Nitrogen fixation, nitrogen => ammonia	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	Coenzyme M biosynthesis	Succinate dehydrogenase (ubiquinone)	Cytochrome c oxidase, prokaryotes	Dissimilatory sulfate reduction, sulfate => H2S	Methylaspartate cycle	Nitrification, ammonia => nitrite	PTS system, maltose/glucose-specific II component	Denitrification, nitrate => nitrogen	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Nitrate/nitrite transport system	Cytochrome bd ubiquinol oxidase	V/A-type ATPase, prokaryotes	Assimilatory nitrate reduction, nitrate => ammonia	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	Iron complex transport system	Dicarboxylate-hydroxybutyrate cycle	Complete nitrification, comammox, ammonia => nitrite => nitrate	Energy-coupling factor transport system	Acetyl-CoA pathway, CO2 => acetyl-CoA	PTS system, beta-glucoside (arbutin/salicin/cellobiose)-specific II component	Multidrug/hemolysin transport system	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
Sulfurovum_7	0.9130434782608695	0.8	0.0	0.0	0.0	0.2777777777777778	0.84375	0.875	0.6666666666666666	0.625	0.0	0.0	1.0	0.0	0.8333333333333334	0.0	0.0	1.0	0.9705882352941176	0.0	1.0	0.0	0.9629629629629629	0.0	0.0	0.5	0.0	1.0	0.0	0.14285714285714285	1.0	0.0	1.0	0.0	0.16666666666666666	1.0	0.0	0.0	0.0	0.2222222222222222	0.5	0.4444444444444444	0.0	0.0	0.6428571428571429	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.3333333333333333	0.2727272727272727	0.0	0.9130434782608695	0.5	0.0	0.95	0.0	0.0	0.0	1.0	0.0	0.0	0.38461538461538464	0.0	0.0	0.0	0.9130434782608695	0.0	0.0	0.2222222222222222
Sulfurovum_9	0.92	0.8	0.0	0.0	1.0	0.2777777777777778	0.7916666666666667	0.6666666666666666	0.6666666666666666	0.625	0.0	0.07142857142857142	1.0	0.0	0.8333333333333334	0.0	0.5	1.0	0.972972972972973	0.0	1.0	0.0	1.0	0.0	0.0	0.5	0.0	0.0	0.0	0.14285714285714285	1.0	0.0	1.0	0.0	0.16666666666666666	1.0	0.0	0.0	0.0	0.0	0.5	0.4444444444444444	0.0	0.0	0.5714285714285714	0.0	0.0	0.0	0.4	0.0	0.0	1.0	0.3333333333333333	0.18181818181818182	0.0	0.92	0.5	0.0	0.8666666666666666	0.0	0.5	0.0	1.0	0.0	0.0	0.46153846153846156	0.0	0.0	0.0	0.92	0.0	0.0	0.2222222222222222
Archaeoglobi_8	0.0	0.5	0.0	0.0	0.0	0.0	0.4375	0.4583333333333333	0.6666666666666666	0.25	0.0	0.07142857142857142	0.0	0.0	0.5	0.0	0.0	0.5	0.0	0.0	1.0	0.0	0.7716049382716049	0.0	1.0	0.0	1.0	0.0	0.25	0.09523809523809523	1.0	0.0	0.0	0.0	0.5	0.25	0.0	0.0	0.0	0.0	0.5	0.5555555555555556	0.0	0.0	0.35714285714285715	0.3333333333333333	0.75	0.0	0.2	0.0	0.0	0.0	1.0	0.2727272727272727	0.0	0.0	0.0	0.0	0.3	0.0	0.0	1.0	0.0	0.3333333333333333	1.0	0.4230769230769231	0.0	0.5	0.75	0.0	0.0	0.0	0.3333333333333333
Methanococci_69	0.0	0.9	0.0	0.0	0.0	0.0	0.5	0.5833333333333334	0.0	0.625	0.0	0.07142857142857142	0.0	0.0	0.8333333333333334	0.0	0.0	0.75	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.5	0.09523809523809523	1.0	0.0	0.0	0.0	0.6666666666666666	1.0	0.0	0.0	0.0	0.0	0.5	0.2222222222222222	0.0	0.0	0.9642857142857143	0.6666666666666666	1.0	0.3333333333333333	0.2	0.75	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.8	0.0	0.0	1.0	0.5	0.0	1.0	0.46153846153846156	0.0	0.0	1.0	0.0	0.0	0.0	0.2222222222222222
Methanococci_13b	0.0	0.9	0.0	0.0	0.0	0.0	0.40625	0.3333333333333333	0.0	0.375	0.0	0.0	0.0	0.0	0.8333333333333334	0.0	0.0	0.5	0.0	0.0	1.0	0.0	0.0	0.16666666666666666	0.5	0.0	1.0	0.0	0.35	0.09523809523809523	1.0	0.0	0.0	0.0	0.5666666666666667	0.5	0.0	0.0	0.0	0.0	0.5	0.2222222222222222	0.0	0.0	0.6785714285714286	0.4666666666666666	0.76875	0.3333333333333333	0.0	0.5	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.65	0.0	0.0	1.0	0.0	0.0	1.0	0.2692307692307692	0.0	0.0	0.5	0.0	0.0	0.0	0.2222222222222222
Thiotrichales_43	0.0	0.9	0.25	0.0	1.0	0.2222222222222222	1.0	0.6666666666666666	1.0	0.625	0.0	0.07142857142857142	0.6666666666666666	0.0	1.0	0.0	0.875	0.75	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.25	0.3333333333333333	0.75	0.0	0.14285714285714285	1.0	0.0	1.0	0.0	0.16666666666666666	1.0	0.0	0.0	0.00390625	0.2111111111111111	0.5	0.5555555555555556	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.4	0.0	0.0	0.75	1.0	0.2727272727272727	0.0	0.0	0.1875	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46153846153846156	0.0	0.0	0.0	0.0	0.0	0.0	0.2222222222222222
Thiotrichales_10	0.0	0.6	0.0	0.0	1.0	0.2222222222222222	1.0	0.5833333333333334	1.0	0.5	0.0	0.07142857142857142	0.6666666666666666	0.0	0.5	0.0	0.5	0.625	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.5	0.3333333333333333	1.0	0.0	0.2857142857142857	1.0	0.0	1.0	0.0	0.16666666666666666	0.75	0.0	0.0	0.003875968992248062	0.2222222222222222	0.5	0.5555555555555556	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18181818181818182	0.0	0.0	0.25	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46153846153846156	0.0	0.0	0.0	0.0	0.0	0.5	0.2222222222222222
Thiotrichales_60	0.0	0.6	0.0	0.0	0.7333333333333334	0.19444444444444445	0.7083333333333333	0.4166666666666667	0.6666666666666666	0.375	0.0	0.0	0.0	0.0	0.6666666666666666	0.0	0.25	0.625	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.5	0.3333333333333333	0.0	0.0	0.2857142857142857	0.0	0.0	0.0	0.0	0.16666666666666666	0.75	0.0	0.0	0.0038461538461538464	0.0	0.5	0.1111111111111111	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.4	0.0	0.0	0.0	1.0	0.18181818181818182	0.0	0.0	0.25	0.0	0.7333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.3076923076923077	0.0	0.25	0.0	0.0	0.0	0.0	0.0
Zetaproteobacteria_110	0.0	1.0	0.0	0.0	0.0	0.3333333333333333	1.0	0.5833333333333334	1.0	0.875	1.0	0.0	0.3333333333333333	0.0	1.0	0.0	0.5	0.875	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.5	0.3333333333333333	1.0	0.0	0.2857142857142857	1.0	0.0	1.0	0.0	0.16666666666666666	0.75	0.0	0.0	0.0	0.2222222222222222	0.5	0.3333333333333333	0.0	0.0	0.42857142857142855	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.16666666666666666	0.36363636363636365	0.0	0.0	0.0	0.5	1.0	0.0	0.0	0.0	0.5	0.0	1.0	0.23076923076923078	0.0	0.0	0.0	0.0	0.0	0.0	0.2222222222222222
Methanococci_13	0.0	0.7	0.0	0.0	0.0	0.0	0.5	0.5833333333333334	0.0	0.5	0.0	0.07142857142857142	0.0	0.0	0.8333333333333334	0.0	0.0	0.75	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.5	0.09523809523809523	1.0	0.0	0.0	0.0	0.6666666666666666	0.75	0.0	0.0	0.0	0.0	0.5	0.2222222222222222	0.0	0.0	0.9642857142857143	0.6666666666666666	1.0	0.3333333333333333	0.2	0.25	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.9938271604938271	0.0	0.0	1.0	0.46153846153846156	0.0	0.0	1.0	0.0	0.0	0.0	0.4444444444444444
